,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track
5563,0.803,0.748,2,-5.221,1,0.0314,0.254,0.00212,0.113,0.752,116.532,audio_features,3D15FZXmjfna7aFfKmEajd,spotify:track:3D15FZXmjfna7aFfKmEajd,https://api.spotify.com/v1/tracks/3D15FZXmjfna7aFfKmEajd,https://api.spotify.com/v1/audio-analysis/3D15FZXmjfna7aFfKmEajd,212440,4,Ready For Love
5564,0.464,0.364,3,-13.21,1,0.0776,0.469,0.0,0.0453,0.81,171.685,audio_features,59Fu9atGAwmkLWpJTGuPLT,spotify:track:59Fu9atGAwmkLWpJTGuPLT,https://api.spotify.com/v1/tracks/59Fu9atGAwmkLWpJTGuPLT,https://api.spotify.com/v1/audio-analysis/59Fu9atGAwmkLWpJTGuPLT,147747,4,Rock'n'Roll Heaven
5565,0.43,0.957,11,-4.727,1,0.0769,0.000559,0.631,0.127,0.475,112.339,audio_features,17RKWx5aELB1OLV9LASGMB,spotify:track:17RKWx5aELB1OLV9LASGMB,https://api.spotify.com/v1/tracks/17RKWx5aELB1OLV9LASGMB,https://api.spotify.com/v1/audio-analysis/17RKWx5aELB1OLV9LASGMB,149280,4,Prof. Henry Stills
5566,0.412,0.5,9,-5.867,0,0.0371,0.583,0.0,0.0568,0.197,92.251,audio_features,5QWr8gPszljAQ1CBoqrlF0,spotify:track:5QWr8gPszljAQ1CBoqrlF0,https://api.spotify.com/v1/tracks/5QWr8gPszljAQ1CBoqrlF0,https://api.spotify.com/v1/audio-analysis/5QWr8gPszljAQ1CBoqrlF0,269200,3,Izgaryam
5567,0.583,0.459,9,-8.422,0,0.0304,0.239,0.0,0.111,0.357,99.809,audio_features,2APxijdVoN8AIrS1AuCMAT,spotify:track:2APxijdVoN8AIrS1AuCMAT,https://api.spotify.com/v1/tracks/2APxijdVoN8AIrS1AuCMAT,https://api.spotify.com/v1/audio-analysis/2APxijdVoN8AIrS1AuCMAT,169506,4,Dirty South
5568,0.53,0.292,9,-7.452,1,0.0342,0.772,0.0,0.31,0.393,82.586,audio_features,3KZI2xeiIRJd8fm84ClxH5,spotify:track:3KZI2xeiIRJd8fm84ClxH5,https://api.spotify.com/v1/tracks/3KZI2xeiIRJd8fm84ClxH5,https://api.spotify.com/v1/audio-analysis/3KZI2xeiIRJd8fm84ClxH5,236480,4,Amor Maldito
5569,0.707,0.847,7,-2.919,1,0.0349,0.787,0.0,0.126,0.967,127.903,audio_features,6bNEw96ACPUeYbWnj9piZA,spotify:track:6bNEw96ACPUeYbWnj9piZA,https://api.spotify.com/v1/tracks/6bNEw96ACPUeYbWnj9piZA,https://api.spotify.com/v1/audio-analysis/6bNEw96ACPUeYbWnj9piZA,159773,4,Cent Mille Guitares
5570,0.531,0.988,0,-5.798,1,0.0629,0.00459,0.529,0.357,0.856,167.993,audio_features,0Q0eYEpQQgkIDAffhkDjBT,spotify:track:0Q0eYEpQQgkIDAffhkDjBT,https://api.spotify.com/v1/tracks/0Q0eYEpQQgkIDAffhkDjBT,https://api.spotify.com/v1/audio-analysis/0Q0eYEpQQgkIDAffhkDjBT,156666,4,Don't Stop Dan
5571,0.675,0.951,2,-2.559,0,0.0664,0.0465,7.54e-06,0.625,0.718,136.042,audio_features,7icROppj4Z12Nr0xGgxWFJ,spotify:track:7icROppj4Z12Nr0xGgxWFJ,https://api.spotify.com/v1/tracks/7icROppj4Z12Nr0xGgxWFJ,https://api.spotify.com/v1/audio-analysis/7icROppj4Z12Nr0xGgxWFJ,221227,4,What You Waiting For?
5572,0.67,0.802,10,-6.734,0,0.123,0.384,0.0,0.295,0.764,128.815,audio_features,5KPM3AkLXLse3qSH1imQlL,spotify:track:5KPM3AkLXLse3qSH1imQlL,https://api.spotify.com/v1/tracks/5KPM3AkLXLse3qSH1imQlL,https://api.spotify.com/v1/audio-analysis/5KPM3AkLXLse3qSH1imQlL,163027,4,All Because Of You - Original
5573,0.286,0.254,9,-14.418,1,0.0415,0.857,0.0,0.351,0.265,170.312,audio_features,0yi2TZfGAffVmfnQD1sm8j,spotify:track:0yi2TZfGAffVmfnQD1sm8j,https://api.spotify.com/v1/tracks/0yi2TZfGAffVmfnQD1sm8j,https://api.spotify.com/v1/audio-analysis/0yi2TZfGAffVmfnQD1sm8j,241493,4,Finale: When Love Is Found/It Feels Like Christmas
5574,0.602,0.825,1,-7.196,1,0.385,0.099,0.0,0.463,0.698,86.016,audio_features,36HzajKpN9EejzYQw5ehtU,spotify:track:36HzajKpN9EejzYQw5ehtU,https://api.spotify.com/v1/tracks/36HzajKpN9EejzYQw5ehtU,https://api.spotify.com/v1/audio-analysis/36HzajKpN9EejzYQw5ehtU,250840,4,Forever Tonite
5575,0.628,0.455,7,-12.436,1,0.0427,0.141,0.693,0.135,0.858,102.09,audio_features,4R7kumtHnf5SsKyPYrVO5r,spotify:track:4R7kumtHnf5SsKyPYrVO5r,https://api.spotify.com/v1/tracks/4R7kumtHnf5SsKyPYrVO5r,https://api.spotify.com/v1/audio-analysis/4R7kumtHnf5SsKyPYrVO5r,318373,4,Autumn
5576,0.346,0.979,4,-2.331,0,0.117,0.0118,0.00308,0.099,0.345,102.551,audio_features,24aqWL70wk57xR2OfYnu37,spotify:track:24aqWL70wk57xR2OfYnu37,https://api.spotify.com/v1/tracks/24aqWL70wk57xR2OfYnu37,https://api.spotify.com/v1/audio-analysis/24aqWL70wk57xR2OfYnu37,203120,4,Cosmonaut
5577,0.692,0.92,7,-4.136,1,0.0773,0.576,0.0,0.063,0.935,93.188,audio_features,0mfuGX22PyJRfN4x7JoY4D,spotify:track:0mfuGX22PyJRfN4x7JoY4D,https://api.spotify.com/v1/tracks/0mfuGX22PyJRfN4x7JoY4D,https://api.spotify.com/v1/audio-analysis/0mfuGX22PyJRfN4x7JoY4D,235000,3,Lole Lolaila
